dataset,model,outlier,mean,std,min,max,train_size,removed,removed_pct,time
house_16H,randomforest,ZScore,0.87153,0.00080,0.87027,0.87250,8632,1320.00,0.1529,1.848
house_16H,randomforest,IsolationForest,0.87835,0.00151,0.87658,0.87991,8632,432.00,0.0500,2.034
house_16H,randomforest,IQR,0.86686,0.00247,0.86397,0.87102,8632,4580.00,0.5306,0.856
kc1,mlp,None,0.86161,0.00385,0.85782,0.86730,1349,0.00,0.0000,1.022
kc1,mlp,ZScore,0.85735,0.00709,0.84360,0.86256,1349,113.00,0.0838,0.848
kc1,mlp,IsolationForest,0.85924,0.00355,0.85545,0.86493,1349,68.00,0.0504,1.091
kc1,mlp,IQR,0.81469,0.00693,0.80332,0.82227,1349,451.00,0.3343,0.700
kc1,xgboost,None,0.87441,0.00000,0.87441,0.87441,1349,0.00,0.0000,0.070
kc1,xgboost,ZScore,0.86730,0.00000,0.86730,0.86730,1349,113.00,0.0838,0.048
kc1,xgboost,IsolationForest,0.86730,0.00367,0.86493,0.87441,1349,68.00,0.0504,0.063
kc1,xgboost,IQR,0.83175,0.00000,0.83175,0.83175,1349,451.00,0.3343,0.122
kc1,randomforest,None,0.87062,0.00440,0.86256,0.87441,1349,0.00,0.0000,0.173
kc1,randomforest,ZScore,0.86114,0.00321,0.85545,0.86493,1349,113.00,0.0838,0.161
kc1,randomforest,IsolationForest,0.87156,0.00625,0.86019,0.87678,1349,68.00,0.0504,0.164
kc1,randomforest,IQR,0.84787,0.00549,0.83886,0.85545,1349,451.00,0.3343,0.108
phoneme,mlp,None,0.84255,0.00583,0.83719,0.85014,3458,0.00,0.0000,2.141
phoneme,mlp,ZScore,0.83996,0.00331,0.83534,0.84459,3458,87.00,0.0252,2.240
phoneme,mlp,IsolationForest,0.84218,0.00386,0.83626,0.84829,3458,173.00,0.0500,2.085
phoneme,mlp,IQR,0.81610,0.00283,0.81221,0.82054,3458,784.00,0.2267,1.743
phoneme,xgboost,None,0.87789,0.00000,0.87789,0.87789,3458,0.00,0.0000,0.097
phoneme,xgboost,ZScore,0.87512,0.00000,0.87512,0.87512,3458,87.00,0.0252,0.056
phoneme,xgboost,IsolationForest,0.86698,0.00353,0.86124,0.87234,3458,173.00,0.0500,0.099
phoneme,xgboost,IQR,0.84736,0.00000,0.84736,0.84736,3458,784.00,0.2267,0.080
phoneme,randomforest,None,0.88585,0.00313,0.88252,0.89177,3458,0.00,0.0000,0.428
phoneme,randomforest,ZScore,0.88770,0.00391,0.88344,0.89362,3458,87.00,0.0252,0.430
phoneme,randomforest,IsolationForest,0.88714,0.00351,0.88159,0.89084,3458,173.00,0.0500,0.530
phoneme,randomforest,IQR,0.85828,0.00443,0.85199,0.86216,3458,784.00,0.2267,0.343
pol,mlp,None,0.98642,0.00162,0.98364,0.98860,6452,0.00,0.0000,2.457
pol,mlp,ZScore,0.88061,0.00386,0.87506,0.88647,6452,2310.00,0.3580,1.946
pol,mlp,IsolationForest,0.98552,0.00173,0.98364,0.98761,6452,323.00,0.0501,2.923
pol,mlp,IQR,0.61011,0.00482,0.60337,0.61626,6452,5671.00,0.8790,0.291
pol,xgboost,None,0.98413,0.00000,0.98413,0.98413,6452,0.00,0.0000,0.069
pol,xgboost,ZScore,0.89043,0.00000,0.89043,0.89043,6452,2310.00,0.3580,0.108
pol,xgboost,IsolationForest,0.98354,0.00085,0.98215,0.98463,6452,323.00,0.0501,0.066
pol,xgboost,IQR,0.69856,0.00000,0.69856,0.69856,6452,5671.00,0.8790,0.020
pol,randomforest,None,0.98235,0.00097,0.98066,0.98364,6452,0.00,0.0000,0.450
pol,randomforest,ZScore,0.89460,0.00156,0.89241,0.89688,6452,2310.00,0.3580,0.262
pol,randomforest,IsolationForest,0.98225,0.00085,0.98066,0.98314,6452,323.00,0.0501,0.415
pol,randomforest,IQR,0.68964,0.00193,0.68765,0.69311,6452,5671.00,0.8790,0.082
vehicle,mlp,None,0.83647,0.01141,0.81765,0.84706,540,0.00,0.0000,0.467
vehicle,mlp,ZScore,0.82235,0.00865,0.80588,0.82941,540,18.00,0.0333,0.468
vehicle,mlp,IsolationForest,0.84000,0.00865,0.82941,0.85294,540,27.00,0.0500,0.464
vehicle,mlp,IQR,0.80353,0.01211,0.78235,0.81765,540,28.00,0.0519,0.564
vehicle,xgboost,None,0.77647,0.00000,0.77647,0.77647,540,0.00,0.0000,0.120
vehicle,xgboost,ZScore,0.75294,0.00000,0.75294,0.75294,540,18.00,0.0333,0.142
vehicle,xgboost,IsolationForest,0.76000,0.00941,0.74706,0.77647,540,27.00,0.0500,0.138
vehicle,xgboost,IQR,0.75882,0.00000,0.75882,0.75882,540,28.00,0.0519,0.121
vehicle,randomforest,None,0.73294,0.01153,0.71765,0.75294,540,0.00,0.0000,0.115
vehicle,randomforest,ZScore,0.72941,0.01441,0.71176,0.75294,540,18.00,0.0333,0.114
vehicle,randomforest,IsolationForest,0.72471,0.01460,0.70000,0.74118,540,27.00,0.0500,0.112
vehicle,randomforest,IQR,0.72235,0.01552,0.70588,0.74706,540,28.00,0.0519,0.116
